tiempo,muestra_id,etiqueta,MQ2,MQ4,MQ135,MQ3,MQ7,MQ9,temp,humedad
39,gasolina_90_001,gasolina_90,433.42,294.74,484.39,629.39,160.49,259.79,22.23,60.4
40,gasolina_90_001,gasolina_90,437.24,296.36,489.33,623.64,164.58,262.76,22.2,59.93
41,gasolina_90_001,gasolina_90,434.99,294.93,492.96,627.66,162.68,266.8,22.05,59.75
42,gasolina_90_001,gasolina_90,438.02,297.91,489.58,627.95,163.73,266.62,22.06,60.74
43,gasolina_90_001,gasolina_90,443.84,297.98,495.93,631.81,166.52,267.51,22.06,59.59
44,gasolina_90_001,gasolina_90,444.54,304.22,497.59,638.49,169.3,268.22,22.04,60.01
45,gasolina_90_001,gasolina_90,444.88,298.39,499.8,641.09,172.19,273.28,22.43,59.62
46,gasolina_90_001,gasolina_90,448.71,302.27,507.98,639.33,165.88,269.52,21.58,59.74
47,gasolina_90_001,gasolina_90,445.22,303.12,504.02,649.41,171.78,270.44,21.82,60.25
48,gasolina_90_001,gasolina_90,444.85,309.06,508.01,644.26,164.29,277.03,21.98,60.62
49,gasolina_90_001,gasolina_90,445.26,302.59,505.87,647.58,168.54,275.59,21.79,59.93
50,gasolina_90_001,gasolina_90,451.55,306.71,509.28,645.72,165.72,278.25,22.07,59.63
51,gasolina_90_001,gasolina_90,456.92,306.25,511.89,650.84,176.92,280.34,21.95,60.49
52,gasolina_90_001,gasolina_90,455.21,310.69,506.59,654.15,174.29,270.41,21.76,58.98
53,gasolina_90_001,gasolina_90,453.41,309.37,515.05,653.67,176.36,272.12,21.66,59.97
54,gasolina_90_001,gasolina_90,456.25,307.72,505.34,654.45,167.89,278.8,22.07,59.53
55,gasolina_90_001,gasolina_90,454.38,305.19,512.28,658.77,169.16,278.81,21.89,59.6
56,gasolina_90_001,gasolina_90,456.37,305.79,511.67,653.42,178.3,277.87,21.86,60.11
57,gasolina_90_001,gasolina_90,457.08,308.72,515.99,660.32,171.09,276.47,21.94,58.85
58,gasolina_90_001,gasolina_90,453.54,313.94,519.84,658.27,174.66,279.55,22.62,60.56
59,gasolina_90_001,gasolina_90,458.34,307.4,510.79,660.54,170.9,274.73,21.87,59.46
0,gasolina_90_002,gasolina_90,0.0,0.0,0.0,0.0,2.78,5.73,21.72,60.28
1,gasolina_90_002,gasolina_90,30.99,20.63,30.45,40.69,11.83,14.92,22.05,59.97
2,gasolina_90_002,gasolina_90,63.04,40.04,60.64,86.03,24.11,30.77,22.02,60.38
3,gasolina_90_002,gasolina_90,87.57,63.73,88.59,123.35,30.54,43.53,21.67,60.02
4,gasolina_90_002,gasolina_90,120.33,77.47,118.88,152.09,42.2,59.57,21.87,60.02
5,gasolina_90_002,gasolina_90,142.2,95.95,144.66,188.49,53.85,73.15,22.11,60.72
6,gasolina_90_002,gasolina_90,160.96,110.55,166.47,220.62,60.82,87.21,22.02,59.92
7,gasolina_90_002,gasolina_90,193.96,128.51,187.35,249.0,66.08,99.4,22.08,59.79
8,gasolina_90_002,gasolina_90,211.98,147.83,209.16,276.4,78.47,110.39,21.59,59.5
9,gasolina_90_002,gasolina_90,224.83,153.51,225.51,307.79,82.7,121.17,22.17,58.89
10,gasolina_90_002,gasolina_90,249.22,169.0,238.7,329.95,89.14,130.14,22.13,61.14
11,gasolina_90_002,gasolina_90,265.97,178.78,258.3,346.19,96.62,137.76,22.01,59.76
12,gasolina_90_002,gasolina_90,282.69,189.64,278.27,367.99,98.92,145.75,21.91,60.19
13,gasolina_90_002,gasolina_90,298.32,195.8,292.25,393.03,106.22,162.15,21.85,59.38
14,gasolina_90_002,gasolina_90,304.56,212.35,305.15,406.99,110.73,160.46,22.49,60.06
15,gasolina_90_002,gasolina_90,323.18,218.72,317.3,424.85,112.11,172.1,22.38,60.67
16,gasolina_90_002,gasolina_90,339.74,223.14,324.75,439.72,118.95,180.37,21.66,60.76
17,gasolina_90_002,gasolina_90,345.83,231.0,335.77,450.03,125.27,183.3,21.74,59.35
18,gasolina_90_002,gasolina_90,355.9,244.4,348.4,464.42,125.83,187.87,21.46,59.97
19,gasolina_90_002,gasolina_90,366.13,248.13,364.43,485.34,129.28,190.62,22.51,60.03
20,gasolina_90_002,gasolina_90,376.15,252.2,368.56,493.72,131.65,197.2,21.99,59.73
21,gasolina_90_002,gasolina_90,382.65,258.41,375.7,510.07,128.5,206.71,22.25,58.96
22,gasolina_90_002,gasolina_90,391.89,262.43,380.19,513.9,136.0,212.98,22.19,60.64
23,gasolina_90_002,gasolina_90,402.68,265.25,390.27,527.69,138.36,213.88,21.95,59.81
24,gasolina_90_002,gasolina_90,409.75,274.74,397.71,539.04,141.3,217.35,22.12,59.85
25,gasolina_90_002,gasolina_90,415.25,274.11,408.08,543.74,145.34,222.17,21.86,59.3
26,gasolina_90_002,gasolina_90,415.82,283.86,407.55,557.73,142.87,227.4,22.04,59.95
27,gasolina_90_002,gasolina_90,424.68,287.14,416.97,563.43,151.52,225.84,21.93,59.97
28,gasolina_90_002,gasolina_90,432.68,284.47,418.37,569.5,153.62,227.71,22.0,60.17
29,gasolina_90_002,gasolina_90,435.23,290.68,427.98,571.03,156.14,225.85,22.21,60.24
30,gasolina_90_002,gasolina_90,442.38,299.16,437.05,583.27,151.08,229.64,21.88,60.01
31,gasolina_90_002,gasolina_90,447.63,297.02,436.98,583.81,156.35,231.61,21.82,59.32
32,gasolina_90_002,gasolina_90,447.32,305.16,437.65,599.46,161.14,238.59,21.83,60.35
33,gasolina_90_002,gasolina_90,452.42,304.98,452.0,596.4,164.49,237.99,21.99,60.89
34,gasolina_90_002,gasolina_90,455.91,312.5,450.01,599.79,164.24,244.95,22.12,59.21
35,gasolina_90_002,gasolina_90,459.03,308.61,451.0,607.83,164.08,239.83,22.08,60.31
36,gasolina_90_002,gasolina_90,466.08,314.74,456.85,611.54,164.47,240.54,22.09,60.1
37,gasolina_90_002,gasolina_90,468.21,309.67,454.03,617.25,165.62,249.15,22.01,60.01
38,gasolina_90_002,gasolina_90,473.0,313.82,460.3,616.37,165.43,247.65,22.04,59.76
39,gasolina_90_002,gasolina_90,476.57,314.44,462.01,619.88,172.0,250.55,22.21,59.26
40,gasolina_90_002,gasolina_90,476.05,321.44,465.21,627.61,166.98,255.48,22.46,59.82
41,gasolina_90_002,gasolina_90,476.2,324.66,471.94,625.85,168.08,251.62,21.73,59.54
42,gasolina_90_002,gasolina_90,476.67,319.43,469.19,630.93,174.75,250.6,22.2,59.89
43,gasolina_90_002,gasolina_90,481.53,325.11,467.89,634.01,171.31,256.13,22.06,61.23
44,gasolina_90_002,gasolina_90,481.64,322.75,471.22,633.66,169.56,259.22,22.28,59.71
45,gasolina_90_002,gasolina_90,482.81,326.93,473.15,639.53,172.71,252.03,22.31,60.9
46,gasolina_90_002,gasolina_90,485.11,325.45,477.27,640.79,174.65,263.47,21.96,59.6
47,gasolina_90_002,gasolina_90,484.35,325.45,477.81,647.18,171.67,258.92,22.0,60.59
48,gasolina_90_002,gasolina_90,497.5,327.01,477.84,646.82,175.78,264.55,22.12,59.82
49,gasolina_90_002,gasolina_90,493.03,332.83,483.09,646.97,177.41,263.23,22.28,60.32
50,gasolina_90_002,gasolina_90,492.02,330.79,485.48,644.65,175.76,259.21,22.01,60.64
51,gasolina_90_002,gasolina_90,494.27,331.28,478.93,650.88,177.01,267.5,21.94,60.11
52,gasolina_90_002,gasolina_90,495.54,336.61,483.79,650.92,177.28,262.15,21.91,60.1
53,gasolina_90_002,gasolina_90,499.04,329.48,485.49,649.34,179.41,257.56,21.89,60.19
54,gasolina_90_002,gasolina_90,501.48,333.01,484.36,658.35,171.82,256.04,22.09,59.75
55,gasolina_90_002,gasolina_90,494.62,335.94,487.64,652.19,172.64,265.73,22.13,59.95
56,gasolina_90_002,gasolina_90,504.06,331.17,483.16,652.92,176.65,264.29,21.95,60.18
57,gasolina_90_002,gasolina_90,495.56,339.24,488.26,659.38,178.09,265.35,22.11,60.22
58,gasolina_90_002,gasolina_90,501.98,339.39,489.81,659.12,177.05,268.69,21.86,60.9
59,gasolina_90_002,gasolina_90,500.62,331.57,490.28,655.86,180.09,262.77,21.91,59.06
0,gasolina_90_003,gasolina_90,0.0,0.0,4.51,2.63,0.0,0.08,22.04,58.98
1,gasolina_90_003,gasolina_90,27.23,14.59,25.16,40.21,17.73,21.26,21.89,60.29
2,gasolina_90_003,gasolina_90,58.34,34.97,54.68,77.51,25.98,38.61,22.18,60.32
3,gasolina_90_003,gasolina_90,81.77,45.15,83.1,115.97,40.91,52.29,22.35,60.1
4,gasolina_90_003,gasolina_90,99.57,58.93,101.24,150.26,46.35,68.47,22.0,61.07
5,gasolina_90_003,gasolina_90,128.13,74.43,123.89,180.79,56.07,81.94,21.95,59.17
6,gasolina_90_003,gasolina_90,144.19,86.98,142.5,214.56,59.4,94.47,22.04,60.52
7,gasolina_90_003,gasolina_90,166.79,94.82,166.07,237.24,70.83,114.48,22.13,59.21
8,gasolina_90_003,gasolina_90,183.71,110.76,178.61,264.29,80.56,124.73,21.89,59.66
9,gasolina_90_003,gasolina_90,195.61,119.9,198.64,286.07,88.63,126.75,22.23,59.13
10,gasolina_90_003,gasolina_90,209.95,122.15,208.58,313.19,91.69,146.95,21.99,60.24
11,gasolina_90_003,gasolina_90,225.63,130.21,229.91,329.3,94.76,154.56,22.3,60.43
12,gasolina_90_003,gasolina_90,237.79,141.0,239.48,356.73,106.5,166.42,22.21,60.12
13,gasolina_90_003,gasolina_90,250.63,148.93,252.89,368.84,113.08,173.98,22.15,59.96
14,gasolina_90_003,gasolina_90,263.4,150.52,267.69,387.24,119.08,173.26,22.42,59.93
15,gasolina_90_003,gasolina_90,277.49,159.93,277.85,399.18,119.06,195.3,21.96,60.11
16,gasolina_90_003,gasolina_90,287.06,170.66,286.82,418.54,132.68,196.5,22.04,60.53
17,gasolina_90_003,gasolina_90,297.39,178.46,297.98,428.14,134.62,199.89,22.06,59.62
18,gasolina_90_003,gasolina_90,302.89,181.24,306.09,446.06,138.53,210.91,21.95,60.48
19,gasolina_90_003,gasolina_90,315.08,181.58,315.4,459.26,136.52,219.5,21.97,60.06
20,gasolina_90_003,gasolina_90,318.87,190.0,318.26,464.4,145.67,218.28,21.8,58.92
21,gasolina_90_003,gasolina_90,324.85,190.37,333.89,482.57,142.07,232.68,22.2,59.84
22,gasolina_90_003,gasolina_90,326.16,205.31,331.74,484.73,150.25,238.01,22.28,60.28
23,gasolina_90_003,gasolina_90,341.9,204.84,344.69,499.98,150.34,234.97,21.85,59.86
24,gasolina_90_003,gasolina_90,341.07,205.57,345.52,504.68,153.23,243.5,22.18,59.21
25,gasolina_90_003,gasolina_90,348.83,212.05,351.23,515.61,156.83,240.33,22.02,59.33
26,gasolina_90_003,gasolina_90,355.28,213.33,354.71,525.36,157.45,248.54,22.04,60.68
27,gasolina_90_003,gasolina_90,362.4,214.02,364.83,532.92,159.84,250.42,21.86,59.67
28,gasolina_90_003,gasolina_90,362.44,223.31,365.39,535.99,159.58,256.18,21.94,60.62
29,gasolina_90_003,gasolina_90,368.95,221.47,370.97,550.86,160.08,257.42,22.13,60.21
30,gasolina_90_003,gasolina_90,374.46,222.65,377.68,549.92,168.32,265.92,21.89,59.32
31,gasolina_90_003,gasolina_90,378.54,233.03,378.95,560.83,172.13,260.24,22.11,60.81
32,gasolina_90_003,gasolina_90,381.21,226.79,383.18,558.07,166.71,260.68,22.01,59.62
33,gasolina_90_003,gasolina_90,386.36,224.7,389.26,568.47,164.14,267.77,22.25,59.4
34,gasolina_90_003,gasolina_90,393.78,232.47,389.27,570.35,173.16,269.01,22.11,59.54
35,gasolina_90_003,gasolina_90,392.17,228.69,393.97,572.07,170.56,274.5,22.22,60.3
36,gasolina_90_003,gasolina_90,391.09,233.6,400.67,579.18,180.92,273.85,22.04,59.85
37,gasolina_90_003,gasolina_90,397.31,235.6,401.71,585.35,172.72,270.43,21.63,60.25
38,gasolina_90_003,gasolina_90,395.97,231.01,403.14,593.44,176.11,278.58,22.02,59.95
39,gasolina_90_003,gasolina_90,404.26,237.92,405.01,590.19,175.1,280.57,21.97,59.62
40,gasolina_90_003,gasolina_90,405.19,237.33,406.39,592.25,181.28,280.46,21.99,60.41
41,gasolina_90_003,gasolina_90,409.7,242.85,408.29,591.19,175.68,279.46,21.88,59.91
42,gasolina_90_003,gasolina_90,407.51,243.85,409.88,599.25,179.88,275.71,21.81,59.93
43,gasolina_90_003,gasolina_90,405.41,245.07,416.4,603.95,179.79,287.28,22.03,59.83
44,gasolina_90_003,gasolina_90,408.79,243.31,412.24,603.14,181.62,283.92,22.09,60.6
45,gasolina_90_003,gasolina_90,414.97,240.65,407.24,607.61,177.69,284.27,21.77,59.1
46,gasolina_90_003,gasolina_90,415.14,248.21,414.58,599.08,180.77,287.08,21.7,60.09
47,gasolina_90_003,gasolina_90,414.77,248.45,417.98,605.85,186.57,286.33,21.99,59.53
48,gasolina_90_003,gasolina_90,414.71,244.78,418.33,615.69,179.4,282.81,22.29,59.9
49,gasolina_90_003,gasolina_90,415.17,251.23,418.18,617.71,186.05,286.97,22.43,59.7
50,gasolina_90_003,gasolina_90,420.47,249.64,424.97,618.48,184.59,286.91,22.09,59.66
51,gasolina_90_003,gasolina_90,425.28,249.75,420.98,615.81,180.89,286.95,22.24,59.67
52,gasolina_90_003,gasolina_90,417.04,251.51,426.57,618.78,188.33,288.24,21.72,60.75
53,gasolina_90_003,gasolina_90,420.08,249.66,427.88,619.58,187.1,297.61,21.87,60.46
54,gasolina_90_003,gasolina_90,422.04,251.71,429.3,620.63,187.7,294.89,21.93,59.58
55,gasolina_90_003,gasolina_90,419.5,245.46,431.65,616.92,185.76,291.38,22.06,60.41
56,gasolina_90_003,gasolina_90,425.93,250.03,425.7,622.13,185.99,297.52,22.1,60.37
57,gasolina_90_003,gasolina_90,426.0,255.7,427.42,618.37,188.23,291.21,21.89,60.29
58,gasolina_90_003,gasolina_90,428.35,252.61,428.43,628.29,188.03,301.4,22.11,59.12
59,gasolina_90_003,gasolina_90,427.49,254.04,431.96,626.06,187.15,290.33,21.96,59.57
0,gasolina_90_004,gasolina_90,0.0,0.04,0.0,1.94,0.0,1.26,21.82,59.78
1,gasolina_90_004,gasolina_90,29.84,20.49,41.74,38.72,11.17,22.17,21.72,59.12
2,gasolina_90_004,gasolina_90,48.99,45.61,69.1,84.94,18.63,38.04,22.31,61.0
3,gasolina_90_004,gasolina_90,83.97,64.36,105.81,113.97,31.84,52.78,21.84,60.0
4,gasolina_90_004,gasolina_90,99.93,77.07,134.76,147.74,38.37,74.73,21.77,59.9
5,gasolina_90_004,gasolina_90,119.49,89.38,160.42,175.09,50.68,87.02,21.8,60.93
6,gasolina_90_004,gasolina_90,145.13,112.21,186.18,201.18,52.55,102.27,22.38,60.77
7,gasolina_90_004,gasolina_90,158.55,121.59,211.79,225.51,61.67,111.55,21.91,59.2
8,gasolina_90_004,gasolina_90,178.91,136.9,230.78,247.23,67.2,129.45,22.33,59.77
9,gasolina_90_004,gasolina_90,191.8,152.58,252.74,280.17,75.74,139.18,21.98,59.9
10,gasolina_90_004,gasolina_90,206.16,160.56,275.11,302.27,81.95,143.72,22.3,59.86
11,gasolina_90_004,gasolina_90,222.94,171.89,287.29,324.31,86.81,155.23,22.01,60.26
12,gasolina_90_004,gasolina_90,231.61,182.92,314.5,337.07,90.52,161.3,22.09,59.98
13,gasolina_90_004,gasolina_90,243.88,197.72,326.34,356.34,94.96,177.52,21.8,60.03
14,gasolina_90_004,gasolina_90,261.65,205.38,344.44,374.45,96.29,182.48,21.79,58.54
15,gasolina_90_004,gasolina_90,272.55,214.51,351.19,388.22,104.75,196.01,22.0,59.64
16,gasolina_90_004,gasolina_90,280.88,223.88,369.79,403.53,105.31,194.1,22.02,60.81
17,gasolina_90_004,gasolina_90,291.92,226.43,383.44,414.98,113.02,203.39,21.96,61.6
18,gasolina_90_004,gasolina_90,300.75,231.89,394.8,435.97,114.09,205.55,22.18,59.67
19,gasolina_90_004,gasolina_90,313.81,243.9,405.75,448.39,117.12,218.25,22.1,59.58
20,gasolina_90_004,gasolina_90,314.06,249.83,416.39,454.58,117.01,222.42,22.41,59.47
21,gasolina_90_004,gasolina_90,323.36,256.68,426.79,467.67,119.45,227.54,21.96,60.49
22,gasolina_90_004,gasolina_90,333.67,265.54,437.78,477.14,125.81,229.97,22.07,59.85
23,gasolina_90_004,gasolina_90,337.0,266.71,441.45,488.79,131.6,235.15,21.58,59.7
24,gasolina_90_004,gasolina_90,346.36,267.35,449.36,492.47,132.44,241.32,21.95,59.82
25,gasolina_90_004,gasolina_90,346.88,269.01,464.59,501.07,135.69,248.16,22.2,59.78
26,gasolina_90_004,gasolina_90,354.49,275.79,463.94,510.55,130.48,250.81,21.91,60.1
27,gasolina_90_004,gasolina_90,359.02,278.9,474.87,515.21,138.49,246.64,22.03,60.97
28,gasolina_90_004,gasolina_90,359.74,281.22,480.69,523.77,138.66,255.34,22.13,60.55
29,gasolina_90_004,gasolina_90,368.25,285.87,486.82,535.1,138.83,253.95,22.22,59.94
30,gasolina_90_004,gasolina_90,364.51,292.26,488.48,534.91,141.75,260.24,22.14,59.78
31,gasolina_90_004,gasolina_90,376.31,291.87,497.25,542.43,139.36,265.55,21.89,60.4
32,gasolina_90_004,gasolina_90,379.38,300.9,498.99,544.59,143.44,263.84,22.16,59.19
33,gasolina_90_004,gasolina_90,378.39,294.74,506.84,555.5,144.43,266.53,22.01,60.58
34,gasolina_90_004,gasolina_90,381.84,301.05,510.97,556.29,146.47,272.19,21.46,60.34
35,gasolina_90_004,gasolina_90,385.53,297.08,513.37,563.04,146.58,274.05,22.32,60.66
36,gasolina_90_004,gasolina_90,395.09,306.9,515.6,557.99,147.27,270.54,22.43,59.91
37,gasolina_90_004,gasolina_90,393.05,308.29,518.82,571.5,147.1,275.41,21.85,59.34
38,gasolina_90_004,gasolina_90,393.2,308.35,520.51,567.73,145.64,276.22,21.7,60.38
39,gasolina_90_004,gasolina_90,397.48,305.81,523.77,570.72,151.65,282.03,21.62,60.06
40,gasolina_90_004,gasolina_90,398.81,313.8,528.05,573.68,150.51,277.06,22.22,60.01
41,gasolina_90_004,gasolina_90,406.91,313.11,527.83,574.17,146.79,276.04,22.05,60.25
42,gasolina_90_004,gasolina_90,398.26,317.38,530.88,581.75,157.72,284.74,21.95,59.55
43,gasolina_90_004,gasolina_90,398.23,313.85,533.92,580.77,153.13,283.46,21.96,59.67
44,gasolina_90_004,gasolina_90,406.77,318.56,533.36,590.24,153.82,284.39,22.14,60.12
45,gasolina_90_004,gasolina_90,410.6,319.25,536.74,589.21,151.24,285.69,21.99,59.9
46,gasolina_90_004,gasolina_90,408.73,313.82,538.75,590.39,155.68,283.24,22.25,59.57
47,gasolina_90_004,gasolina_90,413.31,321.75,540.16,597.3,152.11,289.99,22.2,59.66
48,gasolina_90_004,gasolina_90,415.79,320.66,544.56,594.5,155.74,290.51,22.16,59.13
49,gasolina_90_004,gasolina_90,416.65,317.3,548.28,598.72,153.3,287.63,21.78,59.89
50,gasolina_90_004,gasolina_90,412.87,325.45,550.51,601.05,155.29,288.97,21.66,59.6
51,gasolina_90_004,gasolina_90,417.68,328.73,544.18,596.51,157.27,291.13,21.84,60.21
52,gasolina_90_004,gasolina_90,414.28,324.56,550.74,599.64,156.39,290.61,21.98,59.81
53,gasolina_90_004,gasolina_90,415.79,330.08,551.92,599.98,160.12,290.54,22.23,60.18
54,gasolina_90_004,gasolina_90,417.05,327.26,546.6,598.65,154.75,292.54,22.35,61.12
55,gasolina_90_004,gasolina_90,420.05,328.01,546.9,601.5,156.26,290.78,21.97,59.76
56,gasolina_90_004,gasolina_90,412.9,329.3,550.02,604.86,165.11,290.38,21.49,59.86
57,gasolina_90_004,gasolina_90,422.8,333.45,550.43,606.59,157.74,293.28,22.53,59.25
58,gasolina_90_004,gasolina_90,420.88,329.46,558.19,606.28,160.3,292.85,22.05,59.83
59,gasolina_90_004,gasolina_90,422.56,327.4,556.83,606.74,162.97,294.28,21.65,60.63
0,gasolina_90_005,gasolina_90,0.0,0.86,1.56,1.94,1.67,0.27,21.96,59.92
1,gasolina_90_005,gasolina_90,26.33,22.96,32.49,34.13,11.59,23.98,22.0,59.81
2,gasolina_90_005,gasolina_90,55.47,40.7,57.12,84.35,15.71,41.15,21.87,60.43
3,gasolina_90_005,gasolina_90,78.52,56.51,88.49,122.27,25.13,67.06,22.16,60.38
4,gasolina_90_005,gasolina_90,101.27,73.11,112.51,159.1,34.85,82.27,21.97,59.63
5,gasolina_90_005,gasolina_90,116.29,85.53,132.6,187.86,36.63,103.48,22.0,59.59
6,gasolina_90_005,gasolina_90,139.58,102.79,152.16,217.27,46.9,116.79,22.17,59.9
7,gasolina_90_005,gasolina_90,154.86,107.08,179.48,244.63,55.84,136.12,22.27,59.35
8,gasolina_90_005,gasolina_90,163.47,125.91,202.23,279.0,62.32,148.49,22.16,59.51
9,gasolina_90_005,gasolina_90,189.75,138.35,218.02,308.76,68.52,162.16,21.99,59.12
10,gasolina_90_005,gasolina_90,201.01,146.34,230.13,324.51,70.15,179.89,22.0,60.0
11,gasolina_90_005,gasolina_90,215.93,158.07,249.94,343.5,75.59,187.63,21.73,59.59
12,gasolina_90_005,gasolina_90,228.42,169.62,263.0,367.31,84.74,199.37,22.08,59.95
13,gasolina_90_005,gasolina_90,242.74,174.04,268.7,385.63,90.78,213.07,22.19,60.62
14,gasolina_90_005,gasolina_90,253.52,184.6,287.07,403.14,92.4,223.74,21.97,59.77
15,gasolina_90_005,gasolina_90,263.84,193.5,296.67,414.09,92.69,225.67,21.9,59.93
16,gasolina_90_005,gasolina_90,272.39,203.25,313.28,437.68,99.75,234.52,22.21,59.96
17,gasolina_90_005,gasolina_90,285.02,202.41,318.2,454.01,102.32,243.28,21.83,60.56
18,gasolina_90_005,gasolina_90,288.11,216.85,330.05,467.3,103.31,255.33,21.89,59.92
19,gasolina_90_005,gasolina_90,299.91,214.81,344.22,476.78,106.51,257.59,21.49,59.9
20,gasolina_90_005,gasolina_90,314.61,225.68,350.6,489.64,109.97,268.81,21.76,60.56
21,gasolina_90_005,gasolina_90,316.61,230.63,360.07,501.8,114.46,275.11,21.93,59.71
22,gasolina_90_005,gasolina_90,321.41,237.95,362.61,507.94,115.31,279.25,22.03,60.12
23,gasolina_90_005,gasolina_90,326.64,242.28,368.61,519.76,116.73,279.57,21.96,60.83
24,gasolina_90_005,gasolina_90,333.19,242.73,376.26,529.67,117.99,288.6,22.26,60.28
25,gasolina_90_005,gasolina_90,335.22,246.72,387.73,543.61,125.8,291.23,21.84,59.37
26,gasolina_90_005,gasolina_90,342.94,251.08,395.0,548.07,121.92,299.15,21.83,61.04
27,gasolina_90_005,gasolina_90,343.58,253.69,403.53,555.91,124.01,301.75,21.96,60.69
28,gasolina_90_005,gasolina_90,346.21,260.97,398.27,562.19,124.88,308.46,21.68,60.23
29,gasolina_90_005,gasolina_90,363.08,255.3,407.86,567.64,128.93,310.37,21.87,60.24
30,gasolina_90_005,gasolina_90,366.32,261.65,413.89,571.96,126.18,315.11,22.3,60.18
31,gasolina_90_005,gasolina_90,363.61,264.87,412.14,583.47,133.0,315.51,21.91,60.13
32,gasolina_90_005,gasolina_90,366.65,267.15,426.07,586.35,130.49,317.88,22.15,59.91
33,gasolina_90_005,gasolina_90,369.2,273.62,427.67,590.38,127.11,325.62,21.86,60.4
34,gasolina_90_005,gasolina_90,368.22,274.51,423.18,599.13,133.82,322.33,21.92,60.34
35,gasolina_90_005,gasolina_90,377.24,275.61,435.93,596.7,139.63,327.93,21.82,59.33
36,gasolina_90_005,gasolina_90,378.96,278.52,432.59,610.09,131.35,329.85,21.75,60.18
